run_id,coating_speed,solvent_ratio,oven_temp,dry_time,humidity,coating_thickness_um,defect_rate_pct,throughput_units_hr,energy_kwh_per_1000,pass_fail
1,8,18,150,5,45,42,3.8,780,11.8,fail
2,12,18,150,5,45,48,2.9,805,12.0,fail
3,8,28,150,5,45,46,3.1,790,11.6,fail
4,12,28,150,5,45,53,2.2,825,11.9,pass
5,8,18,175,5,35,47,2.7,800,12.4,fail
6,12,18,175,5,35,55,1.8,835,12.6,pass
7,8,28,175,5,35,52,2.1,820,12.1,pass
8,12,28,175,5,35,59,1.3,845,12.3,pass
9,10,22,165,7,40,51,2.0,815,11.9,pass
10,14,22,165,7,40,56,1.6,835,12.2,pass
11,10,30,180,7,30,57,1.4,840,12.8,pass
12,14,30,180,7,30,62,0.9,860,13.0,pass
