batch_id,scenario,line,shift,throughput_units_hr,yield_pct,defect_rate_pct,cycle_time_sec,energy_kwh_per_hr,scrap_cost_usd,operator_notes
B-001,baseline,Line-A,A,790,92.1,3.4,45.0,118,420,Current setup
B-002,baseline,Line-A,B,802,91.8,3.6,44.5,119,435,Minor stops
B-003,baseline,Line-B,A,815,92.5,3.1,43.8,117,410,Stable run
B-004,baseline,Line-B,B,798,91.9,3.5,45.3,120,440,Late start
B-005,baseline,Line-C,A,807,92.3,3.0,44.0,118,400,Normal
B-006,baseline,Line-C,B,793,91.5,3.7,45.6,121,450,Frequent cleaning
E-001,experiment,Line-A,A,825,94.7,2.1,42.0,121,260,New nozzle
E-002,experiment,Line-A,B,832,95.2,1.8,41.8,122,245,Improved balance
E-003,experiment,Line-B,A,840,95.8,1.4,40.9,123,210,Setpoint tuned
E-004,experiment,Line-B,B,834,94.9,1.9,41.5,124,235,Operator training
E-005,experiment,Line-C,A,846,96.1,1.2,40.4,125,205,Recipe change
E-006,experiment,Line-C,B,838,95.0,1.7,41.2,123,225,Reduced scrap
